rawName,type,offsetStart,offsetEnd,nerd_selection_score,wikipediaExternalRef,wikidataId
Léo Hamon,,15,24,0.9955,170238,Q3270480
Leo Hamon,PERSON,44,53,0,,
Paris,,74,79,0.5627,681159,Q90
Léo Hamon,,122,131,0.9955,170238,Q3270480
Leo Hamon72,PERSON,216,227,0,,
Léo Hamon,PERSON,247,256,0.9984,170238,Q3270480
Hervé,PERSON,516,521,0,,
Verdier,BUSINESS,555,562,0,,
marxisme,,624,632,0.7624,45519,Q7264
christianisme,,672,685,0.7077,2991917,Q5043
Crozet,BUSINESS,800,806,0,,
l'homme nouveau,,808,823,0.5519,787105,Q3203718
l'homme nouveau,,854,869,0.5519,787105,Q3203718
Hervé Verdier,PERSON,921,934,0,,
marxiste,,1013,1021,0.6624,45519,Q7264
l'homme nouveau,,1109,1124,0.5519,787105,Q3203718
Gabriel,PERSON,1347,1354,0,,
péché,,1365,1370,0.3552,30429,Q60227
socialisme,,1412,1422,0.6243,7136,Q7272
Georges Sand,PERSON,1626,1638,0.9381,55551,Q3816
Jacques Crouzet,PERSON,1963,1978,0,,
collectivisme,,2119,2132,0.4442,118607,Q237789
Verdier,BUSINESS,2214,2221,0,,
diluviens,,2457,2466,0.4016,32172,Q134052
LUNDI MATIN,,2801,2812,0.8923,1971974,Q3202856
Martel,LOCATION,3189,3195,0,,
Pisani Revu Edouard,PERSON,3424,3443,0,,
commerce extérieur,,3520,3538,0.6062,248019,Q178803
André Hesne,PERSON,4236,4247,0,,
russe,,4304,4309,0.4353,2549,Q159
Loutsk,LOCATION,4347,4353,0.8733,369895,Q7550
Loutsk,LOCATION,4374,4380,0.8733,369895,Q7550
Berlin,BUSINESS,4384,4390,0.8349,7221,Q64
Kief,BUSINESS,4402,4406,0,,
Loutsk,LOCATION,4410,4416,0.8733,369895,Q7550
allemande,,4451,4460,0.5225,1590005,Q183
hitlérisme,,4519,4529,0.6432,1530239,Q7310
espèce,,4540,4546,0.7688,1072,Q7432
union sacrée,,4549,4561,0.9394,224970,Q1431580
Russe,LOCATION,4592,4597,0,,
Comité de l'Allemagne,ORGANISATION,4659,4680,0,,
Marion,PERSON,4764,4770,0,,
juifs,,4823,4828,0.6281,2350680,Q7325
URSS,LOCATION,4892,4896,0.8194,3111,Q15180
URSS,LOCATION,4946,4950,0.8113,3111,Q15180
Baléares,,5140,5148,0.6502,43308,Q5765
Espagne,LOCATION,5218,5225,0.8113,4906662,Q29
Hesse,,5237,5242,0.6354,12575,Q1199
Pyrénées,,5265,5273,0.6559,2456,Q12431
Espagne,LOCATION,5324,5331,0.8113,4906662,Q29
tête de pont,,5418,5430,0.6036,979352,Q996524
Georges Picot,PERSON,5515,5528,0.9983,1417201,Q1313582
Georges,PERSON,6081,6088,0,,
communisme,,6669,6679,0.6194,5349064,Q6186
prolétariat,,6890,6901,0.57,105244,Q132603
conscience de classe,,6933,6953,0.9468,870987,Q1066261
l'homme nouveau,,7062,7077,0.8766,787105,Q3203718
Toulouse,LOCATION,7715,7723,0.7841,2996,Q7880
Georges,PERSON,8316,8323,0,,
Tristan,PERSON,8354,8361,0,,
moralisme,,8501,8510,0.4894,7145,Q48324
J.H Simon,PERSON,8558,8567,0,,
OCM,ORGANISATION,8569,8572,0.7778,958564,Q3355964
Sermois,BUSINESS,8626,8633,0,,
Georges Sand,PERSON,9800,9812,0.9381,55551,Q3816
France,LOCATION,10031,10037,0.7395,1095,Q142
Mer,BUSINESS,10676,10679,0,,
Londres,LOCATION,10684,10691,0.8431,4924,Q84
Alger,LOCATION,10713,10718,0.8408,107,Q3561
christo,,10801,10808,0.4644,147955,Q158477
Londres,LOCATION,10823,10830,0.8431,4924,Q84
Alger,,10862,10867,0.7216,107,Q3561
Londres,LOCATION,10887,10894,0.8431,4924,Q84
Albert Bayet,PERSON,10896,10908,0.9961,3341097,Q2830943
Dumont,BUSINESS,10952,10958,0,,
Défense de la France,ORGANISATION,10962,10982,0.9945,1020642,Q949286
D.F,BUSINESS,11000,11003,0,,
ci-devant,,11358,11367,0.6433,143024,Q2883653
Dumont,BUSINESS,11496,11502,0,,
champ de bataille,,12246,12263,0.3533,2675517,Q718893
champ de courses,,12317,12334,0.5814,237306,Q11822917
Dumont,BUSINESS,12427,12433,0,,
billets de banque,,12702,12719,0.9436,146308,Q47433
français,,13061,13069,0.647,1095,Q142
billet de banque,,13374,13390,0.9937,146308,Q47433
Allemagne,LOCATION,13908,13917,0.7793,1590005,Q183
Dumont,BUSINESS,14056,14062,0,,
Dumont,BUSINESS,14350,14356,0,,
système monétaire,,14531,14548,0.5944,996892,Q1773266
question sociale,,14846,14862,0.6058,5161023,Q615133
imagine,,14913,14920,0.364,4020115,Q1971
moyens de paiement,,14952,14970,0.6008,87452,Q1148747
réformes de structure,,15034,15055,0.3658,2502636,Q3454788
moyens de paiement,,15081,15099,0.6008,87452,Q1148747
Dumont,BUSINESS,15357,15363,0,,
réformes de structure,,15494,15515,0.3658,2502636,Q3454788
Michel-Impressions,PERSON,16005,16025,0,,
Michel,PERSON,16440,16446,0,,
Michel,PERSON,16887,16893,0,,
prolétaire,,16978,16988,0.6269,105244,Q132603
Christofle,,17507,17517,0.6586,3826119,Q877056
Mer,BUSINESS,17533,17536,0,,
Français,,17579,17587,0.6535,1095,Q142
